BoardSize,10,GameMode,General
Blue,0,0,S,false
Red,0,1,O,false
Blue,0,2,S,true,0,2,0,1,0,0
Blue,0,3,S,false
Red,0,4,S,false
Blue,0,5,O,false
Red,0,6,O,false
Blue,0,7,S,false
Red,0,8,O,false
Blue,0,9,S,true,0,9,0,8,0,7
Blue,1,1,O,false
Red,4,6,O,false
Blue,1,3,S,false
Red,1,4,O,false
Blue,1,2,S,false
Red,1,0,S,true,1,0,1,1,1,2
Red,1,5,S,true,1,5,1,4,1,3
Red,1,6,S,false
Blue,1,7,S,false
Red,1,8,O,false
Blue,1,9,O,false
Red,4,7,S,false
Blue,4,5,O,false
Red,4,4,S,false
Blue,4,3,O,false
Red,2,3,S,false
Blue,2,4,S,true,2,4,1,4,0,4
Blue,2,2,S,true,2,2,1,1,0,0
Blue,2,5,S,true,2,5,1,4,0,3
Blue,2,1,S,false
Red,2,0,S,true,2,0,1,1,0,2
Red,2,6,O,false
Blue,2,7,S,true,2,7,2,6,2,5
Blue,2,8,S,false
Red,2,9,S,true,2,9,1,9,0,9
Red,4,2,S,true,4,2,4,3,4,4
Red,3,5,S,true,3,5,2,6,1,7
Red,3,6,S,true,3,6,2,6,1,6
Red,3,4,O,true,2,4,3,4,4,4
Red,3,3,S,true,3,3,3,4,3,5
Red,3,2,O,true,2,2,3,2,4,2
Red,3,1,O,true,2,0,3,1,4,2
Red,3,0,S,false
Blue,3,7,S,true,3,7,2,6,1,5
Blue,3,8,S,false
Red,3,9,S,false
Blue,4,1,O,false
Red,4,0,S,true,4,0,4,1,4,2
Red,4,8,S,false
Blue,4,9,O,false
Red,5,0,S,false
Blue,5,1,O,false
Red,5,2,S,true,5,2,5,1,5,0
Red,5,4,S,true,5,4,4,5,3,6
Red,5,3,S,true,5,3,4,3,3,3
Red,5,5,O,false
Blue,5,6,S,true,5,6,5,5,5,4
Blue,5,7,O,false
Red,5,8,S,true,5,8,5,7,5,6
Red,5,9,S,true,5,9,4,9,3,9
Red,6,0,S,true,6,0,5,1,4,2
Red,6,1,S,false
Blue,6,2,S,true,6,2,5,1,4,0
Blue,6,4,O,false
Red,6,5,O,false
Blue,6,3,S,false
Red,6,6,S,true,6,6,5,5,4,4
Red,6,7,O,false
Blue,6,8,O,false
Red,6,9,S,false
Blue,7,0,S,false
Red,7,1,S,false
Blue,7,2,S,false
Red,7,4,S,true,7,4,6,4,5,4
Red,7,5,O,false
Blue,7,3,O,true,7,2,7,3,7,4
Blue,7,6,O,false
Red,7,7,O,false
Blue,7,8,S,true,7,8,6,8,5,8
Blue,7,9,S,false
Red,8,4,O,false
Blue,8,1,S,false
Red,8,3,O,false
Blue,8,2,O,false
Red,8,0,S,false
Blue,8,5,O,false
Red,8,6,O,false
Blue,8,7,O,false
Red,8,8,S,true,8,8,7,7,6,6
Red,9,4,S,true,9,4,8,4,7,4
Red,9,3,O,false
Blue,9,6,O,false
Red,8,9,S,false
Blue,9,5,S,false
Red,9,1,S,false
Blue,9,2,S,true,9,2,9,3,9,4
Blue,9,0,S,false
Red,9,7,S,true,9,7,9,6,9,5
Red,9,8,S,false
Blue,9,9,S,false
